feature_set,feature_family,is_negative_control,runs,folds,seeds,n_features,validation_sharpe_median,validation_sharpe_iqr,test_sharpe_median,test_sharpe_iqr,validation_return_pct_median,test_return_pct_median,test_max_drawdown_median,test_max_drawdown_iqr,test_turnover_median,test_turnover_iqr,robust_selection_score_median,generalization_ratio_median,retention_ratio_median,feature_set_description,primary_benchmark_name,primary_benchmark_return_pct_median,primary_benchmark_sharpe_median,primary_benchmark_max_drawdown_median,primary_benchmark_excess_return_pct_median,primary_benchmark_excess_sharpe_median,primary_benchmark_regret_return_pct_median,primary_benchmark_regret_sharpe_median,primary_benchmark_outperform_return_rate,primary_benchmark_outperform_sharpe_rate,primary_benchmark_hit_rate_median
base_macro,macro_context,False,42,14,3,12,2.5850926259482967,2.7258639836552563,1.3378153596148783,3.2532985286246072,7.9887745166606905,3.2621823993744803,-0.0539594680142057,0.0615798821454396,12.187223523289099,4.266525647805395,2.5410089136815923,3.094872294292097,0.42066799187019266,Baseline technical features plus macro context.,Equal Weight Rebalance Matched,4.364785380373537,1.122229836867797,-0.0506574691891587,-0.7914459036541421,-0.21442553539799844,0.7914459036541421,0.21442553539799844,0.42857142857142855,0.42857142857142855,0.4919333853760083
base_macro_vol_term_or_implied_vol_proxy,vol_term_or_implied_vol_proxy,False,42,14,3,22,2.6897109564725854,2.8528193389434144,1.1404712548730336,3.128227554586627,8.266927034009264,1.9797345983343484,-0.0558227211383181,0.05851196228239902,11.317069997397866,3.383736559139786,2.5036849371133014,3.216737689473519,0.36033629702623426,Macro baseline plus lag-clean implied-volatility term-structure proxy features.,Equal Weight Rebalance Matched,4.364785380373537,1.122229836867797,-0.0506574691891587,-0.1972176763163691,-0.21345832088615,0.1972176763163691,0.21345832088615,0.4523809523809524,0.4523809523809524,0.48412298387096775
base_macro_gru,negative_control_gru,True,42,14,3,20,2.5750946562633743,2.9177150557271023,1.1057603787066772,3.204303885102421,8.831791365656938,2.667407597565641,-0.0499767462040139,0.0637547197440925,12.195928080380753,4.379781420765026,2.3926880038715552,3.042474527737272,0.3894519965233588,GRU-enhanced feature set treated as a negative control.,Equal Weight Rebalance Matched,4.364785380373537,1.122229836867797,-0.0506574691891587,-0.08279549309241907,-0.15873227899448772,0.08279549309241907,0.15873227899448772,0.5,0.2857142857142857,0.5
base_macro_rates_term_structure_lsc,rates_term_structure_lsc,False,42,14,3,25,2.392969375771882,2.471755646850083,1.0974064253926685,3.0567104754292416,8.01562379243953,2.311667089196068,-0.056149561591123553,0.060707056738863605,11.208653353814645,2.4641881342701026,2.259129550723612,2.914328025869602,0.3236250221010521,"Macro baseline plus lag-clean Treasury level, slope, and curvature features.",Equal Weight Rebalance Matched,4.364785380373537,1.122229836867797,-0.0506574691891587,-0.670528625471245,-0.2336497228450276,0.670528625471245,0.2336497228450276,0.38095238095238093,0.42857142857142855,0.4959016393442623
base_macro_credit_stress_proxies,credit_stress_proxies,False,42,14,3,23,2.459471604408063,2.522088402667726,1.0708713254120956,3.37988742413784,7.961666822899716,1.0682732252672356,-0.04552587662747275,0.06955855202656883,12.126707650273225,4.244730679156909,2.4692844009167993,2.946568239227167,0.44678380184848926,Macro baseline plus lag-clean credit and financial-stress proxy features.,Equal Weight Rebalance Matched,4.364785380373537,1.122229836867797,-0.0506574691891587,-0.49034613197298005,-0.1902666314223374,0.49034613197298005,0.1902666314223374,0.47619047619047616,0.42857142857142855,0.47631048387096775
base_macro_xsec_dispersion_correlation_regime,market_internal_dispersion_correlation,False,42,14,3,18,2.412457723489633,2.8831461180222453,1.0504700633750235,3.4238376881639123,7.587508988091852,2.6454729192981863,-0.05357634942534305,0.06467950451048352,11.29326047358834,6.096518177163338,2.323649361807454,3.2639482089842358,0.47286778443202926,Macro baseline plus causal cross-sectional dispersion/correlation regime features.,Equal Weight Rebalance Matched,4.364785380373537,1.122229836867797,-0.0506574691891587,-0.480940872432728,-0.24629706151469577,0.480940872432728,0.24629706151469577,0.42857142857142855,0.35714285714285715,0.484375
base,technical_base,False,42,14,3,9,2.4799274395601194,3.0446385690017808,0.9435215843160069,3.064377519051658,7.837906270435235,2.3843937574775764,-0.05489633745907675,0.06040848964085922,11.280081925243216,3.6688134270101482,2.3390323603618564,2.8788633385430944,0.30145697292984197,"Prices, returns, and baseline technical risk features.",Equal Weight Rebalance Matched,4.364785380373537,1.122229836867797,-0.0506574691891587,-1.0309745561607246,-0.2266349045831963,1.0309745561607246,0.2266349045831963,0.4523809523809524,0.38095238095238093,0.47631048387096775
base_macro_analyst_or_fund_revision_features,analyst_or_fund_revision_features,False,42,14,3,25,2.5968490856264994,2.089581246716156,0.884806470939481,3.1208830020238487,9.088416338321304,1.9804672344856278,-0.06227249747451814,0.065071021650367,11.527777777777779,4.501008326827998,2.5130646479290677,3.3455993415303387,0.29725134323211533,Macro baseline plus lagged point-in-time fundamental revision proxy features.,Equal Weight Rebalance Matched,4.364785380373537,1.122229836867797,-0.0506574691891587,-1.4271675506594028,-0.35643955357383705,1.4271675506594028,0.35643955357383705,0.3333333333333333,0.30952380952380953,0.47619047619047616
base_macro_sector_relative_context,sector_relative_context,False,42,14,3,20,2.5021107579832327,2.8351330936986674,0.8503492237838679,3.5114067139605423,8.111082244546562,2.324392290548427,-0.054160825546243796,0.06768448543662185,12.532786885245901,3.8221067525370795,2.2946009794315634,3.09176072360652,0.4057724306317466,Macro baseline plus causal sector-relative return context features.,Equal Weight Rebalance Matched,4.364785380373537,1.122229836867797,-0.0506574691891587,-0.348831615202188,-0.16609778588566368,0.348831615202188,0.16609778588566368,0.38095238095238093,0.35714285714285715,0.4919333853760083
base_macro_exogenous_plus,calendar_exogenous,False,42,14,3,27,2.508008831445554,2.3426336649688424,0.7911333695406451,3.031881367852786,7.844098017028811,2.0444119120418547,-0.05432546911541365,0.061117567652878,11.504781420765028,5.747204804714059,2.273769470097567,2.7873619011986532,0.2629236769973941,Baseline technical and macro features plus event/calendar exogenous features.,Equal Weight Rebalance Matched,4.364785380373537,1.122229836867797,-0.0506574691891587,-0.503158493308542,-0.28447190696319946,0.503158493308542,0.28447190696319946,0.42857142857142855,0.38095238095238093,0.5
base_macro_xsec_sector_gated_context,xsec_sector_gated_context,False,42,14,3,32,2.674149452214392,2.5002797058833175,0.6342036868114693,2.7817230621440125,8.154141779214175,1.4635104075237715,-0.05082849815188175,0.06038171633762177,12.155477491543067,3.408730158730158,2.4553382367647956,3.062156460568899,0.22273452838481755,Macro baseline plus causal xsec-sector gated interaction context features.,Equal Weight Rebalance Matched,4.364785380373537,1.122229836867797,-0.0506574691891587,-1.026478682219606,-0.28558451784840544,1.026478682219606,0.28558451784840544,0.42857142857142855,0.3333333333333333,0.4919333853760083
base_macro_hmm,negative_control_hmm,True,42,14,3,15,2.3766864629008353,2.3623396637941374,0.5465883753545951,3.31885464438051,7.8637468400908235,1.8146708546369017,-0.0514123584985678,0.07037596720614914,11.60752688172043,2.780281282264358,2.3688370684176965,2.737829784916381,0.388002671993425,HMM-enhanced feature set treated as a negative control.,Equal Weight Rebalance Matched,4.364785380373537,1.122229836867797,-0.0506574691891587,-1.5660506132672114,-0.5345553869356736,1.5660506132672114,0.5345553869356736,0.3333333333333333,0.30952380952380953,0.48003072196620583
base_macro_breadth_internal_structure,market_internal_breadth,False,42,14,3,20,2.466580038179509,2.6212608207601193,0.48274470885976767,2.9205231582214024,7.943708273802597,1.6653495694103129,-0.05863000622520455,0.047748205014171895,12.262800819252432,2.606283523456975,2.2994966768378573,3.1640031858415965,0.20127847126857001,Macro baseline plus causal breadth and participation structure features.,Equal Weight Rebalance Matched,4.364785380373537,1.122229836867797,-0.0506574691891587,-1.0911311662807293,-0.21193584330553933,1.0911311662807293,0.21193584330553933,0.42857142857142855,0.38095238095238093,0.4838709677419355
